"Course_name","Inst_Name","Alloted_
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","SEBC","GUJCET Based","Self-Finance","37180.00","50490.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","CHAROTAR UNIVERSITY OF SCIENCE &
TECHNOLOGY (CHARUSAT) - CHANDUBHAI S
PATEL INSTITUTE OF TECHNOLOGY (CSPIT),
CHANGA","EWS","GUJCET Based","Self-Finance","6675.00","8203.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","CHAROTAR UNIVERSITY OF SCIENCE &
TECHNOLOGY (CHARUSAT) - CHANDUBHAI S
PATEL INSTITUTE OF TECHNOLOGY (CSPIT),
CHANGA","GEN","GUJCET Based","Self-Finance","4967.00","5650.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","CHAROTAR UNIVERSITY OF SCIENCE &
TECHNOLOGY (CHARUSAT) - CHANDUBHAI S
PATEL INSTITUTE OF TECHNOLOGY (CSPIT),
CHANGA","SC","GUJCET Based","Self-Finance","11122.00","11122.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","CHAROTAR UNIVERSITY OF SCIENCE &
TECHNOLOGY (CHARUSAT) - CHANDUBHAI S
PATEL INSTITUTE OF TECHNOLOGY (CSPIT),
CHANGA","SEBC","GUJCET Based","Self-Finance","10666.00","17627.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","EWS","GUJCET Based","Self-Finance","518.00","545.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","GEN","GUJCET Based","Self-Finance","231.00","507.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","SC","GUJCET Based","Self-Finance","4657.00","4657.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","SEBC","GUJCET Based","Self-Finance","1350.00","1364.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","JG UNIVERSITY - SCHOOL OF ENGINEERING,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","18147.00","50165.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","GUJCET Based","Govt / GIA","1675.00","1825.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","GUJCET Based","Govt / GIA","696.00","1356.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SC","GUJCET Based","Govt / GIA","2676.00","9434.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","GUJCET Based","Govt / GIA","2119.00","2143.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ST","GUJCET Based","Govt / GIA","22383.00","22383.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","JEE Based","Govt / GIA","900720.00","900852.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","JEE Based","Govt / GIA","901535.00","901535.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","EWS","GUJCET Based","Self-Finance","22512.00","24865.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","11637.00","20962.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","SEBC","GUJCET Based","Self-Finance","25184.00","27339.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING - TFW","AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","TFWs","GUJCET Based","Self-Finance","12638.00","12638.00"
"ARTIFICIAL
INTELLIGENCE(AI) AND
MACHINE LEARNING - TFW","JG UNIVERSITY - SCHOOL OF ENGINEERING,
AHMEDABAD","TFWs","GUJCET Based","Self-Finance","14088.00","16749.00"
"AUTOMOBILE
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE,
MODASA","GEN","GUJCET Based","Govt / GIA","37263.00","37263.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","GUJCET Based","Govt / GIA","26088.00","34292.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","GUJCET Based","Govt / GIA","12585.00","25478.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SC","GUJCET Based","Govt / GIA","33877.00","37728.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","GUJCET Based","Govt / GIA","25991.00","38134.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ST","GUJCET Based","Govt / GIA","28772.00","28772.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","JEE Based","Govt / GIA","904079.00","904764.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SC","JEE Based","Govt / GIA","922716.00","922716.00"
"AUTOMOBILE
ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","JEE Based","Govt / GIA","912845.00","912845.00"
"AUTOMOBILE
ENGINEERING - TFWS","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","TFWs","GUJCET Based","Govt / GIA","14526.00","14526.00"
"AUTOMOTIVE
TECHNOLOGY-TFWS","PARUL INSTITUTE OF ENGINEERING &
TECHNOLOGY, WAGHODIA, VADODARA","TFWs","GUJCET Based","Self-Finance","37541.00","37541.00"
"BACHELOR OF
TECHNOLOGY (HONS) IN
CIVIL ENGINEERING (BCE)","FACULTY OF TECHNOLOGY, CEPT UNIVERSITY,
AHMEDABAD","EWS","GUJCET Based","Self-Finance","26759.00","31962.00"
"BACHELOR OF
TECHNOLOGY (HONS) IN
CIVIL ENGINEERING (BCE)","FACULTY OF TECHNOLOGY, CEPT UNIVERSITY,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","629.00","23578.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"BIOMEDICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","GEN","GUJCET Based","Govt / GIA","33826.00","50019.00"
"BIOMEDICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR","GEN","JEE Based","Govt / GIA","910509.00","931399.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","GUJCET Based","Govt / GIA","31433.00","32123.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","GUJCET Based","Govt / GIA","8811.00","27448.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","GUJCET Based","Govt / GIA","38821.00","39713.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","JEE Based","Govt / GIA","911655.00","911655.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","JEE Based","Govt / GIA","903884.00","903884.00"
"BIOMEDICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","JEE Based","Govt / GIA","917459.00","917459.00"
"BIOTECHNOLOGY","ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY
(WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD","GEN","GUJCET Based","Self-Finance","18203.00","50183.00"
"BIOTECHNOLOGY","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","GEN","GUJCET Based","Self-Finance","10145.00","31751.00"
"BIOTECHNOLOGY","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","13147.00","38789.00"
"BIOTECHNOLOGY","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","EWS","GUJCET Based","Self-Finance","10822.00","10920.00"
"BIOTECHNOLOGY","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","GUJCET Based","Self-Finance","3161.00","7626.00"
"BIOTECHNOLOGY","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SC","GUJCET Based","Self-Finance","19689.00","35013.00"
"BIOTECHNOLOGY","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SEBC","GUJCET Based","Self-Finance","13085.00","16018.00"
"BIOTECHNOLOGY","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","JEE Based","Self-Finance","906166.00","910457.00"
"BIOTECHNOLOGY","PARUL INSTITUTE OF TECHNOLOGY,
WAGHODIA, VADODARA","GEN","GUJCET Based","Self-Finance","2550.00","8902.00"
"BIOTECHNOLOGY","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","GEN","GUJCET Based","Self-Finance","15922.00","33304.00"
"BIOTECHNOLOGY","V.V.P. ENGINEERING COLLEGE, RAJKOT","GEN","GUJCET Based","Self-Finance","17488.00","38971.00"
"BIOTECHNOLOGY - TFWS","GANPAT UNIVERSITY, U.V.PATEL COLLEGE OF
ENGINEERING, KHERVA, MEHSANA","TFWs","GUJCET Based","Self-Finance","8030.00","8030.00"
"BIOTECHNOLOGY - TFWS","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","TFWs","GUJCET Based","Self-Finance","5409.00","5409.00"
"BIOTECHNOLOGY - TFWS","PARUL INSTITUTE OF TECHNOLOGY,
WAGHODIA, VADODARA","TFWs","GUJCET Based","Self-Finance","12865.00","18235.00"
"BIOTECHNOLOGY - TFWS","SILVER OAK COLLEGE OF ENGG., & TECH.
(WITHIN AMHEDABAD MUNICIPAL
CORPORATION LIMIT), AHMEDABAD","TFWs","GUJCET Based","Self-Finance","4519.00","29897.00"
"CHEMICAL AND
ENVIRONMENTAL
ENGINEERING","AHMEDABAD UNIVERSITY, AHMEDABAD","EWS","GUJCET Based","Self-Finance","22809.00","22809.00"
"CHEMICAL AND
ENVIRONMENTAL
ENGINEERING","AHMEDABAD UNIVERSITY, AHMEDABAD","GEN","GUJCET Based","Self-Finance","12920.00","17482.00"
"CHEMICAL ENGINEERING","BHAGWAN ARIHANT INSTITUTE OF TECH.,
SURAT","GEN","GUJCET Based","Self-Finance","32154.00","32154.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","SEBC","GUJCET Based","Govt / GIA","8048.00","8665.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","EWS","GUJCET Based","Govt / GIA","5882.00","6095.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","GEN","GUJCET Based","Govt / GIA","5297.00","5502.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","SEBC","GUJCET Based","Govt / GIA","8786.00","9794.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY(SFI), DHARMSINH
DESAI UNIVERSITY, NADIAD","EWS","GUJCET Based","Self-Finance","12876.00","14245.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY(SFI), DHARMSINH
DESAI UNIVERSITY, NADIAD","GEN","GUJCET Based","Self-Finance","8776.00","12769.00"
"CHEMICAL ENGINEERING","FACULTY OF TECHNOLOGY(SFI), DHARMSINH
DESAI UNIVERSITY, NADIAD","SC","GUJCET Based","Self-Finance","31213.00","31213.00"
"CHEMICAL ENGINEERING","G.H.PATEL COLLEGE OF ENGG. & TECH. , V. V.
NAGAR","GEN","GUJCET Based","Self-Finance","17369.00","50051.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","EWS","GUJCET Based","Govt / GIA","15125.00","15921.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","GEN","GUJCET Based","Govt / GIA","10989.00","14243.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","SEBC","GUJCET Based","Govt / GIA","17871.00","19528.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE,
BHARUCH","SEBC","JEE Based","Govt / GIA","912350.00","912350.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHUJ","GEN","GUJCET Based","Govt / GIA","31490.00","50012.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHUJ","GEN","JEE Based","Govt / GIA","907617.00","931865.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","EWS","GUJCET Based","Govt / GIA","31746.00","31746.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","GEN","GUJCET Based","Govt / GIA","17438.00","25664.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","SEBC","GUJCET Based","Govt / GIA","25693.00","36695.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","GEN","JEE Based","Govt / GIA","906880.00","906880.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","SEBC","JEE Based","Govt / GIA","911660.00","911660.00"
"CHEMICAL ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, VALSAD","ST","JEE Based","Govt / GIA","926010.00","926010.00"
"CHEMICAL ENGINEERING","INSTITUTE OF ADVANCED RESEARCH,
GANDHINAGAR","GEN","GUJCET Based","Self-Finance","18950.00","33593.00"
"CHEMICAL ENGINEERING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","EWS","GUJCET Based","Self-Finance","5827.00","5827.00"
"CHEMICAL ENGINEERING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","SC","GUJCET Based","Self-Finance","21763.00","28142.00"
"CHEMICAL ENGINEERING","INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY
OF SCIENCE & TECHNOLOGY, AHMEDABAD","SEBC","GUJCET Based","Self-Finance","9512.00","11875.00"
"CHEMICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","EWS","GUJCET Based","Govt / GIA","4899.00","4899.00"
"CHEMICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","GUJCET Based","Govt / GIA","3861.00","4782.00"
"CHEMICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","SEBC","GUJCET Based","Govt / GIA","5672.00","5672.00"
"CHEMICAL ENGINEERING","L.D.COLLEGE OF ENGINEERING, AHMEDABAD","GEN","JEE Based","Govt / GIA","901859.00","901859.00"
"CHEMICAL ENGINEERING","L.E.COLLEGE ,MORBI","GEN","GUJCET Based","Govt / GIA","32217.00","38883.00"
"CHEMICAL ENGINEERING","L.E.COLLEGE ,MORBI","GEN","JEE Based","Govt / GIA","909498.00","932380.00"
"CHEMICAL ENGINEERING","L.J. INSTITUTE OF ENGG AND TECH.,
AHMEDABAD","GEN","GUJCET Based","Self-Finance","9924.00","39417.00"
"CHEMICAL ENGINEERING","P.P. SAVANI SCHOOL OF ENGINEERING, P.P.
SAVANI UNIVERSITY, KOSAMBA","GEN","GUJCET Based","Self-Finance","18223.00","33902.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","EWS","GUJCET Based","Self-Finance","13945.00","14769.00"
"Course_name","Inst_Name","Alloted_
Cat","Quota","Institute Type","First Rank","Last Rank"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","GUJCET Based","Self-Finance","9250.00","12388.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SC","GUJCET Based","Self-Finance","36829.00","50071.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SEBC","GUJCET Based","Self-Finance","14442.00","30257.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","EWS","JEE Based","Self-Finance","907358.00","907358.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","GEN","JEE Based","Self-Finance","903541.00","904969.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","SC","JEE Based","Self-Finance","905532.00","905532.00"
"CHEMICAL ENGINEERING","PANDIT DEENDAYAL ENERGY UNIVERSITY
,GANDHINAGAR","ST","JEE Based","Self-Finance","928849.00","928849.00"
"CHEMICAL ENGINEERING","PRIME INSTITUTE OF ENGINEERING AND
TECHNOLOGY, JALALPORE, NAVSARI","GEN","GUJCET Based","Self-Finance","38464.00","38464.00"
"CHEMICAL ENGINEERING","R.N.G. PATEL INSTITUTE OF TECHNOLOGY-
RNGPIT (FETR), BARDOLI","GEN","GUJCET Based","Self-Finance","13363.00","36800.00"
"CHEMICAL ENGINEERING","SAL COLLEGE OF ENGINEERING , AHMEDABAD","GEN","GUJCET Based","Self-Finance","20332.00","28846.00"
"CHEMICAL ENGINEERING","SARVAJANIK COLLEGE OF ENGG. & TECH. ,
SURAT","GEN","GUJCET Based","Self-Finance","17134.00","50603.00"
"CHEMICAL ENGINEERING","SCHOOL OF TECHNOLOGY, GSFC UNIVERSITY,
VADODARA","EWS","GUJCET Based","Self-Finance","27852.00","50491.00"
"CHEMICAL ENGINEERING","SCHOOL OF TECHNOLOGY, GSFC UNIVERSITY,
VADODARA","GEN","GUJCET Based","Self-Finance","13301.00","24633.00"
"CHEMICAL ENGINEERING","SCHOOL OF TECHNOLOGY, GSFC UNIVERSITY,
VADODARA","SEBC","GUJCET Based","Self-Finance","35849.00","35849.00"
"CHEMICAL ENGINEERING","SHRI SADVIDHYA MANDAL INSTITUTE OF TECH.,
BHARUCH","GEN","GUJCET Based","Self-Finance","17061.00","39647.00"
"CHEMICAL ENGINEERING","SHRI SITARAM N PATEL INST. OF TECH. & RES.
(SNPIT), BARDOLI, UMRAKH (VIDHYABHARTI
TRUST)","GEN","GUJCET Based","Self-Finance","26739.00","39217.00"
"CHEMICAL ENGINEERING","SHROFF S.R.ROTARY INST. OF CHEMICAL
TECHNOLOGY, VATATIA,BHARUCH","GEN","GUJCET Based","Self-Finance","27328.00","28356.00"
"CHEMICAL ENGINEERING","SIGMA INSTITUTE OF ENGG., BAKROL","GEN","GUJCET Based","Self-Finance","22015.00","22015.00"
"CHEMICAL ENGINEERING","V.V.P. ENGINEERING COLLEGE, RAJKOT","GEN","GUJCET Based","Self-Finance","30271.00","30271.00"
"CHEMICAL ENGINEERING","VIDHYADEEP INSTITUTE OF ENGINEERING &
TECHNOLOGY, ANITA(KIM), SURAT","GEN","GUJCET Based","Self-Finance","30407.00","30407.00"
"CHEMICAL ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","EWS","GUJCET Based","Govt / GIA","10808.00","13183.00"
"CHEMICAL ENGINEERING","VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","GEN","GUJCET Based","Govt / GIA","9357.00","10712.00"
